info @storybook/react v6.3.2
info 
info => Cleaning outputDir: C:\Users\migue\AppData\Local\Temp\chromatic--10544-IHl4mRFAek7k
info => Copying static files: ./public => ./
info => Loading presets
info => Compiling preview..
info => Loading 1 config file in "C:\Users\migue\Dev\learnstorybook-design-system\.storybook"
info => Loading 9 other files in "C:\Users\migue\Dev\learnstorybook-design-system\.storybook"
info => Adding stories defined in "C:\Users\migue\Dev\learnstorybook-design-system\.storybook\main.js"
info => Loading Webpack configuration from `node_modules\react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack4 setup
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core-client\dist\esm\globals\polyfills.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core-client\dist\esm\globals\globals.js C:\Users\migue\Dev\learnstorybook-design-system\.storybook\storybook-init-framework-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-docs\dist\esm\frameworks\common\config.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-links\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-actions\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-actions\dist\esm\preset\addArgs.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addParameter.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-measure\dist\esm\preset\preview.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\storybook-addon-outline\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\.storybook\preview.js-generated-config-entry.js C:\Users\migue\Dev\learnstorybook-design-system\.storybook\generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 46% building 301/319 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_getNative.js
<s> [webpack.Progress] 46% building 301/320 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.reflect.to-string-tag.js
<s> [webpack.Progress] 46% building 301/321 modules 20 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.math.to-string-tag.js
<s> [webpack.Progress] 46% building 302/321 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.math.to-string-tag.js
<s> [webpack.Progress] 46% building 302/322 modules 20 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\string-trim-forced.js
<s> [webpack.Progress] 46% building 303/322 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\string-trim-forced.js
<s> [webpack.Progress] 46% building 304/322 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\string-trim-forced.js
<s> [webpack.Progress] 46% building 305/322 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\string-trim-forced.js
<s> [webpack.Progress] 46% building 306/322 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\string-trim-forced.js
<s> [webpack.Progress] 46% building 307/322 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\string-trim-forced.js
<s> [webpack.Progress] 46% building 308/322 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\string-trim-forced.js
<s> [webpack.Progress] 47% building 309/322 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\string-trim-forced.js
<s> [webpack.Progress] 47% building 309/323 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.json.to-string-tag.js
<s> [webpack.Progress] 47% building 309/324 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\string-trim.js
<s> [webpack.Progress] 47% building 310/324 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\string-trim.js
<s> [webpack.Progress] 47% building 311/324 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\string-trim.js
<s> [webpack.Progress] 47% building 311/325 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.unscopables.js
<s> [webpack.Progress] 47% building 312/325 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.unscopables.js
<s> [webpack.Progress] 47% building 313/325 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.unscopables.js
<s> [webpack.Progress] 47% building 314/325 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.unscopables.js
<s> [webpack.Progress] 47% building 314/326 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\get-built-in.js
<s> [webpack.Progress] 47% building 314/327 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\is-array.js
<s> [webpack.Progress] 47% building 315/327 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\is-array.js
<s> [webpack.Progress] 47% building 316/327 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\is-array.js
<s> [webpack.Progress] 47% building 316/328 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.to-primitive.js
<s> [webpack.Progress] 47% building 316/329 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\object-get-own-property-names.js
<s> [webpack.Progress] 47% building 316/330 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.to-string-tag.js
<s> [webpack.Progress] 48% building 317/330 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.to-string-tag.js
<s> [webpack.Progress] 48% building 318/330 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.to-string-tag.js
<s> [webpack.Progress] 48% building 318/331 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.split.js
<s> [webpack.Progress] 48% building 318/332 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.species.js
<s> [webpack.Progress] 48% building 318/333 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.search.js
<s> [webpack.Progress] 48% building 319/333 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.search.js
<s> [webpack.Progress] 48% building 320/333 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.search.js
<s> [webpack.Progress] 48% building 321/333 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.search.js
<s> [webpack.Progress] 48% building 322/333 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.search.js
<s> [webpack.Progress] 48% building 322/334 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core\client.js
<s> [webpack.Progress] 48% building 323/334 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core\client.js
<s> [webpack.Progress] 48% building 324/334 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core\client.js
<s> [webpack.Progress] 48% building 324/335 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_overArg.js
<s> [webpack.Progress] 48% building 324/336 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\document-create-element.js
<s> [webpack.Progress] 48% building 324/337 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\html.js
<s> [webpack.Progress] 49% building 325/337 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\html.js
<s> [webpack.Progress] 49% building 326/337 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\html.js
<s> [webpack.Progress] 49% building 326/338 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-is\index.js
<s> [webpack.Progress] 49% building 327/338 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-is\index.js
<s> [webpack.Progress] 49% building 327/339 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\channels\dist\esm\index.js
<s> [webpack.Progress] 49% building 327/340 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\object-define-properties.js
<s> [webpack.Progress] 49% building 327/341 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.replace.js
<s> [webpack.Progress] 49% building 327/342 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.match-all.js
<s> [webpack.Progress] 49% building 327/343 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.match.js
<s> [webpack.Progress] 49% building 328/343 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.match.js
<s> [webpack.Progress] 49% building 329/343 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.match.js
<s> [webpack.Progress] 49% building 330/343 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.match.js
<s> [webpack.Progress] 49% building 330/344 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.is-concat-spreadable.js
<s> [webpack.Progress] 49% building 330/345 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.has-instance.js
<s> [webpack.Progress] 49% building 330/346 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.symbol.async-iterator.js
<s> [webpack.Progress] 49% building 330/347 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\object-set-prototype-of.js
<s> [webpack.Progress] 49% building 330/348 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\startCase.js
<s> [webpack.Progress] 49% building 331/348 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\startCase.js
<s> [webpack.Progress] 49% building 331/349 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\string-punycode-to-ascii.js
<s> [webpack.Progress] 49% building 331/350 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\array-from.js
<s> [webpack.Progress] 49% building 332/350 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\array-from.js
<s> [webpack.Progress] 49% building 332/351 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\iterators-core.js
<s> [webpack.Progress] 49% building 333/351 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\iterators-core.js
<s> [webpack.Progress] 50% building 334/351 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\iterators-core.js
<s> [webpack.Progress] 50% building 335/351 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\iterators-core.js
<s> [webpack.Progress] 50% building 336/351 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\iterators-core.js
<s> [webpack.Progress] 50% building 336/352 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\theming\dist\esm\utils.js
<s> [webpack.Progress] 50% building 336/353 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\theming\dist\esm\ensure.js
<s> [webpack.Progress] 50% building 337/353 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\theming\dist\esm\ensure.js
<s> [webpack.Progress] 50% building 337/354 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\get-iterator-method.js
<s> [webpack.Progress] 50% building 337/355 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\iterator-close.js
<s> [webpack.Progress] 50% building 337/356 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\is-array-iterator-method.js
<s> [webpack.Progress] 50% building 337/357 modules 20 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\icon\svg.js
<s> [webpack.Progress] 50% building 338/357 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\icon\svg.js
<s> [webpack.Progress] 50% building 338/358 modules 20 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\icon\icons.js
<s> [webpack.Progress] 50% building 339/358 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\icon\icons.js
<s> [webpack.Progress] 50% building 340/358 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\icon\icons.js
<s> [webpack.Progress] 50% building 341/358 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\icon\icons.js
<s> [webpack.Progress] 50% building 341/359 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\index.js
<s> [webpack.Progress] 50% building 341/360 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\blocks\index.js
<s> [webpack.Progress] 51% building 342/360 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\blocks\index.js
<s> [webpack.Progress] 51% building 342/361 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-docs\dist\esm\lib\convert\index.js
<s> [webpack.Progress] 51% building 343/361 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-docs\dist\esm\lib\convert\index.js
<s> [webpack.Progress] 51% building 344/361 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-docs\dist\esm\lib\convert\index.js
<s> [webpack.Progress] 51% building 344/362 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_root.js
<s> [webpack.Progress] 51% building 344/363 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\is-regexp.js
<s> [webpack.Progress] 51% building 345/363 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\is-regexp.js
<s> [webpack.Progress] 51% building 346/363 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\is-regexp.js
<s> [webpack.Progress] 51% building 346/364 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\ScrollArea\ScrollArea.js
<s> [webpack.Progress] 51% building 347/364 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\ScrollArea\ScrollArea.js
<s> [webpack.Progress] 51% building 348/364 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\ScrollArea\ScrollArea.js
<s> [webpack.Progress] 51% building 349/364 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\ScrollArea\ScrollArea.js
<s> [webpack.Progress] 51% building 349/365 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\engine-is-webos-webkit.js
<s> [webpack.Progress] 52% building 350/365 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\engine-is-webos-webkit.js
<s> [webpack.Progress] 52% building 350/366 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\array-includes.js
<s> [webpack.Progress] 52% building 350/367 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.ends-with.js
<s> [webpack.Progress] 52% building 350/368 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\engine-is-ios.js
<s> [webpack.Progress] 52% building 351/368 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\engine-is-ios.js
<s> [webpack.Progress] 52% building 352/368 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\engine-is-ios.js
<s> [webpack.Progress] 52% building 353/368 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\engine-is-ios.js
<s> [webpack.Progress] 52% building 354/368 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\engine-is-ios.js
<s> [webpack.Progress] 52% building 355/368 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\engine-is-ios.js
<s> [webpack.Progress] 52% building 356/368 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\engine-is-ios.js
<s> [webpack.Progress] 52% building 357/368 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\engine-is-ios.js
<s> [webpack.Progress] 52% building 358/368 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\engine-is-ios.js
<s> [webpack.Progress] 52% building 358/369 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\shared\animation.js
<s> [webpack.Progress] 52% building 358/370 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\web.immediate.js
<s> [webpack.Progress] 53% building 359/370 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\web.immediate.js
<s> [webpack.Progress] 53% building 359/371 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\get-iterator.js
<s> [webpack.Progress] 53% building 360/371 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\get-iterator.js
<s> [webpack.Progress] 53% building 360/372 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-is\cjs\react-is.production.min.js
<s> [webpack.Progress] 53% building 361/372 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-is\cjs\react-is.production.min.js
<s> [webpack.Progress] 53% building 361/373 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\uuid-browser\lib\rng-browser.js
<s> [webpack.Progress] 53% building 361/374 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\uuid-browser\lib\bytesToUuid.js
<s> [webpack.Progress] 53% building 362/374 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\uuid-browser\lib\bytesToUuid.js
<s> [webpack.Progress] 53% building 363/374 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\uuid-browser\lib\bytesToUuid.js
<s> [webpack.Progress] 53% building 363/375 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseIsNative.js
<s> [webpack.Progress] 53% building 363/376 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\classof.js
<s> [webpack.Progress] 53% building 363/377 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\whitespaces.js
<s> [webpack.Progress] 53% building 363/378 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_getValue.js
<s> [webpack.Progress] 53% building 364/378 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_getValue.js
<s> [webpack.Progress] 53% building 364/379 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\create-iterator-constructor.js
<s> [webpack.Progress] 53% building 364/380 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\native-url.js
<s> [webpack.Progress] 53% building 365/380 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\native-url.js
<s> [webpack.Progress] 53% building 366/380 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\native-url.js
<s> [webpack.Progress] 54% building 367/380 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\native-url.js
<s> [webpack.Progress] 54% building 368/380 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\native-url.js
<s> [webpack.Progress] 54% building 369/380 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\native-url.js
<s> [webpack.Progress] 54% building 370/380 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\native-url.js
<s> [webpack.Progress] 54% building 370/381 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\timers-browserify\main.js
<s> [webpack.Progress] 54% building 371/381 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\timers-browserify\main.js
<s> [webpack.Progress] 54% building 372/381 modules 9 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\timers-browserify\main.js
<s> [webpack.Progress] 54% building 373/381 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\timers-browserify\main.js
<s> [webpack.Progress] 54% building 373/382 modules 9 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\escodegen\escodegen.js
<s> [webpack.Progress] 54% building 374/382 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\escodegen\escodegen.js
<s> [webpack.Progress] 54% building 375/382 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\escodegen\escodegen.js
<s> [webpack.Progress] 55% building 376/382 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\escodegen\escodegen.js
<s> [webpack.Progress] 55% building 377/382 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\escodegen\escodegen.js
<s> [webpack.Progress] 55% building 378/382 modules 4 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\escodegen\escodegen.js
<s> [webpack.Progress] 55% building 379/382 modules 3 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\escodegen\escodegen.js
<s> [webpack.Progress] 55% building 380/382 modules 2 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\escodegen\escodegen.js
<s> [webpack.Progress] 55% building 380/383 modules 3 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\theming\dist\esm\convert.js
<s> [webpack.Progress] 55% building 380/384 modules 4 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\theming\dist\esm\create.js
<s> [webpack.Progress] 55% building 381/384 modules 3 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\theming\dist\esm\create.js
<s> [webpack.Progress] 55% building 381/385 modules 4 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-dom\index.js
<s> [webpack.Progress] 55% building 381/386 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\theming\dist\esm\global.js
<s> [webpack.Progress] 55% building 381/387 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\a-possible-prototype.js
<s> [webpack.Progress] 55% building 381/388 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_createCompounder.js
<s> [webpack.Progress] 55% building 381/389 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\upperFirst.js
<s> [webpack.Progress] 55% building 382/389 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\upperFirst.js
<s> [webpack.Progress] 55% building 382/390 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\create-property.js
<s> [webpack.Progress] 55% building 382/391 modules 9 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\call-with-safe-iteration-closing.js
<s> [webpack.Progress] 55% building 382/392 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\object-get-prototype-of.js
<s> [webpack.Progress] 55% building 382/393 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\theming\dist\esm\types.js
<s> [webpack.Progress] 55% building 382/394 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core\dist\cjs\index.js
<s> [webpack.Progress] 55% building 382/395 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@emotion\styled\dist\styled.browser.esm.js
<s> [webpack.Progress] 55% building 382/396 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\internals\iterators.js
<s> [webpack.Progress] 55% building 382/397 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\blocks\Description.js
<s> [webpack.Progress] 55% building 383/397 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\blocks\Description.js
<s> [webpack.Progress] 55% building 383/398 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.reflect.construct.js
<s> [webpack.Progress] 56% building 384/398 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.reflect.construct.js
<s> [webpack.Progress] 56% building 384/399 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.object.get-prototype-of.js
<s> [webpack.Progress] 56% building 385/399 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.object.get-prototype-of.js
<s> [webpack.Progress] 56% building 385/400 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\escodegen\package.json
<s> [webpack.Progress] 56% building 386/400 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.object.get-prototype-of.js
<s> [webpack.Progress] 56% building 387/400 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.object.get-prototype-of.js
<s> [webpack.Progress] 56% building 387/401 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\html-tags\index.js
<s> [webpack.Progress] 56% building 387/402 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_freeGlobal.js
<s> [webpack.Progress] 56% building 387/403 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\blocks\IconGallery.js
<s> [webpack.Progress] 56% building 387/404 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\blocks\Typeset.js
<s> [webpack.Progress] 56% building 387/405 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\blocks\ColorPalette.js
<s> [webpack.Progress] 56% building 387/406 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\blocks\IFrame.js
